game_id,title,region,system,language,updated_from_redump
SLUS-01086,Builder's Block (USA),NTSC-U,PSX,E,1
SLUS-00324,Burning Road (USA),NTSC-U,PSX,E,1
SLUS-01317,BursTrick - Wake Boarding!! (USA),NTSC-U,PSX,E,1
SCUS-94180,Bushido Blade (USA),NTSC-U,PSX,E,1
SLUS-00663,Bushido Blade 2 (USA),NTSC-U,PSX,E,1
SCUS-94263,BUST A GROOVE,NTSC-U,PSX,"E, S",0
SLUS-01159,Bust A Groove 2 (USA),NTSC-U,PSX,E,1
SLUS-00233,Bust-A-Move 2 - Arcade Edition (USA),NTSC-U,PSX,E,1
SLUS-00754,Bust-A-Move 4 (USA),NTSC-U,PSX,E,1
SLUS-00725,Bust-A-Move '99 (USA),NTSC-U,PSX,E,1
SLUS-00208,Buster Bros. Collection (USA),NTSC-U,PSX,E,1
SCUS-94666,C-12 - Final Resistance (USA),NTSC-U,PSX,E,1
SLUS-01391,Cabela's Big Game Hunter - Ultimate Challenge (USA),NTSC-U,PSX,E,1
SLUS-01474,Cabela's Ultimate Deer Hunt - Open Season (USA),NTSC-U,PSX,E,1
SLUS-00285,Caesars Palace (USA),NTSC-U,PSX,E,1
SLUS-00780,Caesars Palace II (USA),NTSC-U,PSX,E,1
SLUS-01089,Caesars Palace 2000 - Millennium Gold Edition (USA),NTSC-U,PSX,E,1
SLUS-01476,CAPCOM VS SNK - MILLENNIUM FIGHT 2000 PRO,NTSC-U,PSX,E,0
SLUS-00494,Car and Driver Presents - Grand Tour Racing '98 (USA),NTSC-U,PSX,E,1
SLUS-01379,Card Games (USA),NTSC-U,PSX,E,1
SCUS-94156,Cardinal Syn (USA) (Beta) (1997-12-15),NTSC-U,PSX,E,1
SCUS-94604,CARNAGE HEART  - (Disc 1),NTSC-U,PSX,E,0
SCUS-94964,CARNAGE HEART  - (Disc 2),NTSC-U,PSX,E,0
SCUS-94416,CART World Series (USA),NTSC-U,PSX,E,1
SLUS-00162,Casper (USA),NTSC-U,PSX,E,1
SLUS-01245,Casper - Friends Around the World (USA),NTSC-U,PSX,E,1
SLUS-00067,Castlevania - Symphony of the Night (USA),NTSC-U,PSX,E,1
SLUS-01384,Castlevania Chronicles (USA),NTSC-U,PSX,E,1
SLUS-00882,Castrol Honda Superbike Racing (USA),NTSC-U,PSX,E,1
SLUS-00807,Centipede (USA),NTSC-U,PSX,E,1
SLUS-01084,Championship Bass (USA),NTSC-U,PSX,E,1
SLUS-00790,Championship Motocross featuring Ricky Carmichael (USA),NTSC-U,PSX,E,1
SLUS-01230,Championship Motocross 2001 featuring Ricky Carmichael (USA),NTSC-U,PSX,E,1
SLUS-01216,Championship Surfer (USA),NTSC-U,PSX,E,1
SLUS-01400,Chess (USA),NTSC-U,PSX,E,1
SLUS-00886,Chessmaster II (USA),NTSC-U,PSX,E,1
SLUS-01304,Chicken Run (USA),NTSC-U,PSX,E,1
SLUS-00844,Chocobo Racing (USA),NTSC-U,PSX,E,1
SLUS-00814,Chocobo's Dungeon 2 (USA),NTSC-U,PSX,E,1
SCUS-94700,Chronicles of the Sword (USA) (Disc 1),NTSC-U,PSX,E,1
SCUS-94701,Chronicles of the Sword (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-01041,Chrono Cross (USA) (Disc 1),NTSC-U,PSX,E,1
SLUS-01080,Chrono Cross (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-00697,Circuit Breakers (USA),NTSC-U,PSX,E,1
SLUS-00792,Civilization II (USA),NTSC-U,PSX,E,1
SLUS-01491,Cleopatra's Fortune (USA),NTSC-U,PSX,E,1
SLUS-00539,Clock Tower (USA),NTSC-U,PSX,E,1
